climatebelief	econcern	poli	ambient1	ambient2	source01	ResponseId	consent	activist	envhope	cblame_ind	cblame_gov	cblame_corp	cblame_comm	cvictim_ind	cvictim_gov	cvictim_corp	cvictim_comm	cresponsible_ind	cresponsible_comm	cresponsible_gov	cresponsible_corp	emo_Angry	emo_Worry	emo_Sad	emo_Hope	emo_Guilt	freqthought	freqemo	asp1	asp2	asp3	asch1	asch2	asch3	asu1	asn1	asn2	asn3	asu2	asp4	asu3	asu4	asi1	asi2	asi3	CaseID	Direct	Target	Time	Temperature	Weather	Wildfire	Economy	PoliInaction	IndividualInaction	NotStressed	Overreact	Habitat	School	NewsDocs	Pollution	IceCaps	Plastic	Future	Health	Guilt	Bot	Other	recall_gen	emointense	selfdistr1	active1	denial1	substance1	emosupp1	disengage1	active2	denial2	vent1	instrumental1	substance2	reframe1	sblame1	plan1	emosupp2	disengage2	reframe2	humor1	selfdistr2	accept1	vent2	religion1	instrument2	accept2	plan2	sblame2	religion2	humor2	eco1	eco2	eco3	eco4	gender	Female	race	DELETE	age	educ	zipcode	poliideo	poliparty	venting	selfdistract	emosupport	active	planning	disengagement	substance	selfblame	denial	humor	religion	acceptance	instrumental	reframing	EconPoli	econcernXpoli	ambient3	concernC	asF1	asF2	asF3	distancing1	distancing2	problemfocus	probsocial	minimization
0	1	8.00	1.00	4.00	0	R_3CDd2UWpiOcazsP	4	4	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	4	7	4	144	3	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	"I have never been stressed about climate change.   Our climate has not changed.  Water, weather, temperature all the same.  Early 1920s, terrible heat wave that killed people and animals.  All of that was before industry so I have no stressful moments.   Mother Nature is adaptable and will change.   That's my comfort."	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	female	1	white	0.00	62.00	7	80439	8	8	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	8.00	8.00	4.00	1.00	1.00	4.00	4.00	1.00	1.00	1.00	1.00	4.00
0	1	7.00	2.40	4.75	0	R_22rFgKJq59vpOcX	4	2	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	7	1	1	1	4	6	4	4	1	4	4	3	189	3	3	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	I have never been stressed by climate change. I believe climate change is a hoax developed by the left.	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Female	1	White	0.00	23.00	7	.	7	7	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	7.00	7.00	3.00	1.58	2.17	5.00	3.50	1.00	1.00	1.00	1.00	5.00
1	4	2.50	4.70	4.25	0	R_1Cm7bhDm9ewXEP4	4	5	1	4	3	1	2	4	2	4	3	5	4	3	1	4	3	2	2	2	4	2	5	1	2	4	4	3	6	3	6	4	7	7	6	5	5	5	3	4	3	3	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	"I've never felt particularly stressed out about climate change, but in general if that's bothering me. I think it's really bad that a lot of people just don't care about it at all and it needs to be something that scared about because it's a legit thing and will destroy the"	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Man	0	White	0.00	28.00	4	63114	3	2	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	10.00	10.00	3.00	4.33	4.67	4.00	4.00	1.00	1.00	1.00	1.00	4.00
1	1	3.00	1.70	6.25	0	R_1Im9naYoXtazWn0	4	3	4	1	1	1	1	4	2	2	4	2	2	2	2	1	2	2	1	1	2	2	2	2	2	2	1	7	1	4	2	6	1	2	2	2	7	5	7	12	3	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	"I used to feel stressed about climate change, and worry that I wasn't doing enough to help protect the planet. I then did some research and came to believe that what is happening is a natural cycle, and it has been going on since the beginning of time. I don't worry anymore because I believe man is not responsible and nothing we can do can stop what is happening."	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Female	1	White	0.00	28.00	4	96771	3	3	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	3.00	3.00	7.00	1.46	1.92	6.00	7.00	1.00	1.00	1.00	1.00	6.00
1	6	7.50	3.90	2.00	0	R_2SBQoktObDLCXJA	4	4	5	5	5	2	3	2	3	2	2	4	3	5	4	2	5	1	5	3	5	5	7	3	2	2	5	5	4	3	6	1	2	7	1	6	1	1	7	28	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"i was about going to work on a beautiful morning, sudenly rain started falling. so it really affect my movement for that fateful day"	6	3	2	3	1	2	3	3	2	1	3	1	2	1	2	2	4	2	3	4	1	1	4	2	3	2	2	1	2	4	1	2	2	male	0	black african american	0.00	30.00	5	90201	8	7	1.00	3.50	2.00	2.50	2.00	3.50	1.00	1.50	2.50	2.50	2.50	2.00	2.50	2.00	45.00	45.00	7.00	5.00	4.00	2.33	4.00	2.20	2.17	2.25	2.25	2.33
1	1	9.00	1.00	5.50	0	R_3MniECQrCKMAeek	4	2	4	1	1	1	1	1	1	1	1	2	2	2	2	4	1	1	5	1	1	1	1	1	1	1	1	7	1	7	7	1	1	1	1	1	7	7	7	62	0	3	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	I'M SO TIRED OF THIS AGENDA BEING PUSHED - THE RHETORIC BEING TWISTED - ALL OF IT JUST MAKES ME ANGRY	7	1	1	4	1	1	4	1	4	4	1	1	1	1	1	1	4	1	4	1	1	4	4	1	4	1	1	4	4	1	1	1	1	FEMALE	1	WHITE	0.00	46.00	6	30121	9	9	4.00	1.00	1.00	1.00	1.00	4.00	1.00	1.00	4.00	4.00	4.00	2.50	1.00	1.00	9.00	9.00	7.00	1.50	2.00	5.00	7.00	2.80	2.50	1.00	1.00	5.00
1	1	6.00	1.00	3.25	0	R_DNngmgK7PO6SHBv	4	3	7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	7	1	1	1	1	1	1	1	1	4	1	7	65	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	I remember In high school made us watch a documentary about climate change and it really scared me. It was all doom and like it was happening today. I was so scared and felt helpless.	5	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Female	1	White	0.00	28.00	6	32789	5	7	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	2.50	1.00	1.00	1.00	1.00	1.00	6.00	6.00	7.00	1.00	1.00	3.00	5.50	1.30	1.25	1.00	1.00	3.00
1	6	6.50	5.00	5.25	0	R_237V9DQST9nFwd7	4	3	6	3	4	4	5	4	4	4	3	4	3	4	4	4	3	3	4	3	5	4	5	4	5	5	6	4	6	5	5	6	5	4	5	5	6	5	6	70	0	3	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	rising temperature  rate increase the water evaporates more into air from soils and surface water causes water scarcity	5	3	2	3	3	2	3	3	3	2	3	1	2	1	2	3	3	3	1	1	3	2	2	3	1	3	1	3	1	1	2	2	3	male	0	hispanic	0.00	33.00	7	95758	7	6	2.00	2.00	2.50	2.50	2.50	3.00	2.00	1.00	3.00	1.00	2.50	2.00	3.00	2.50	39.00	39.00	6.00	5.50	5.00	5.00	6.00	2.00	2.08	2.50	2.63	5.00
1	1	8.50	1.00	6.50	0	R_1Q3Y58bsoSOS0LF	4	1	7	2	3	3	2	2	2	2	2	2	2	2	2	1	1	1	2	1	2	2	1	1	1	1	1	7	1	1	5	5	1	1	1	1	7	7	7	72	3	3	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	"i have never felt stressed about climate change, since it is an left-wing, liberal democrat moron conspiracy theory. what morons they are!!!!"	1	1	1	4	3	1	1	1	1	1	1	2	1	1	1	1	1	1	4	2	1	2	1	1	4	1	1	1	4	2	1	1	1	MALE	0	white	0.00	64.00	7	44720	8	9	1.50	1.50	1.00	1.00	1.00	1.00	2.50	1.00	2.50	4.00	1.00	2.50	1.00	1.00	8.50	8.50	7.00	1.17	1.33	6.33	7.00	2.20	2.00	1.00	1.00	6.33
1	6	7.50	5.90	5.50	0	R_1IYL2gv7MRrKtCo	4	4	5	4	5	4	3	5	2	3	4	4	5	3	2	5	3	4	2	3	4	3	7	5	7	7	6	7	5	7	6	4	7	6	5	4	5	6	4	90	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Climate change disturb my health and delayed some work.	5	1	3	2	4	2	4	3	4	2	3	1	3	1	4	2	3	2	3	1	1	3	2	3	4	2	3	2	1	3	2	3	2	Male	0	Black	0.00	28.00	7	98052	8	7	2.50	1.00	2.00	3.00	3.00	3.50	2.50	2.00	3.00	2.00	2.00	2.50	3.00	2.50	45.00	45.00	4.00	6.00	6.00	5.67	4.50	2.60	2.58	3.00	2.75	5.67
