days	stress	alone	age	urbanrural
20	15	no	42	urban
21	14	no	46	rural
21	40	yes	31	urban
23	17	no	92	rural
24	50	yes	30	urban
32	30	no	20	urban
55	50	yes	21	rural
55	90	yes	25	urban
56	70	yes	19	rural
57	30	no	50	urban
57	20	no	54	rural
54	10	yes	53	urban
53	17	no	66	rural
50	22	no	62	urban
49	39	no	19	rural
30	70	no	27	urban
79	20	no	29	rural
80	15	no	31	urban
88	14	no	32	rural
90	10	no	39	rural
98	100	yes	44	urban
100	80	yes	45	rural
112	80	yes	34	urban
96	75	yes	35	rural
96	67	no	38	urban
96	82	yes	39	rural
94	94	yes	30	urban
95	99	yes	44	rural
92	25	no	20	rural
32	15	no	42	urban
12	14	no	46	rural
14	40	yes	31	urban
19	17	no	92	rural
24	50	yes	30	urban
32	30	no	20	urban
55	50	yes	21	rural
55	90	yes	25	urban
56	70	yes	19	rural
57	30	no	23	urban
57	20	no	22	rural
54	10	yes	21	urban
53	17	no	20	rural
50	22	no	80	urban
49	39	no	81	rural
30	70	no	12	rural
80	33	no	83	urban
80	15	no	85	rural
88	19	yes	87	urban
91	10	no	88	rural
98	100	yes	90	urban
101	90	no	29	urban
113	99	yes	23	rural
96	75	yes	22	urban
96	67	no	21	rural
96	82	yes	30	urban
94	94	yes	31	rural
95	99	yes	32	urban
92	25	no	44	rural
